country,year,Happiness,Log GDP per capita,Confidence in national government,Social support,Healthy life expectancy at birth,Generosity,"GINI index (World Bank estimate), average 2000-13",child,healthExp,publicEdu,ave_visitor,income,homicide,ecoFree,uniEnro,area,alcohol,unemploy,food,suicide,visitor
Afghanistan,2012,3.782937527,7.549240589,0.435440153,0.520636737,48.7383461,0.247900203,0.3,99.5,58,3.1,0,512,6.6,1,4,652860,0.01,8.5,2100,5.7,0
Albania,2012,5.510124207,9.189268112,0.364893705,0.784501791,67.94297791,-0.169465303,0.305,15.5,240,3.5,115.1824818,4245,5.5,65.1,58.6,27400,5.14,13.89999962,3023,5.9,3156000
Algeria,2012,5.604595661,9.487703323,,0.839396894,64.00130463,-0.198894069,,26.1,335,4.3,1.105914164,4532,1.3,51,32.2,2381740,0.66,11,3272,1.9,2634000
Angola,2012,4.360249996,8.886378288,0.237090692,0.752592862,44.40031433,-0.138072923,0.4734,172.2,168,3.4,0.423518088,3505,9.8,46.7,6.9,1246700,8.24,6.900000095,2384,13.8,528000
Argentina,2012,6.468387127,9.8056,0.418255478,0.901776373,66.83800507,-0.16,0.479421429,13.8,727,5.1,2.041517307,10391,6.6,48,79,2736690,8.35,7.199999809,3155,10.3,5587000
Armenia,2012,4.319711685,8.891233444,0.285362303,0.676446438,65.01451111,-0.19920297,0.325923077,16.3,150,3.1,33.82507903,3622,2.2,68.8,43.9,28470,3.89,17.29999924,2809,2.9,963000
Australia,2012,7.195585728,10.65822315,0.420419186,0.944599032,72.16123962,0.257350981,0.3468,4.3,6544,4.9,0.785181521,51628,1.1,83.1,85.4,7682300,10.03,5.199999809,3265,10.6,6032000
Austria,2012,7.400688648,10.69543934,0.376573861,0.945142388,70.94441223,0.108246133,0.302488889,4,5240,5.5,292.5231041,47994,1,70.3,72.3,82561,12.26,4.300000191,3784,11.5,24151000
Azerbaijan,2012,4.910771847,9.673333168,0.707989275,0.761873245,61.79683304,-0.164400503,0.21098,35.7,399,2.1,24.02671248,5296,2.2,58.9,20.4,82658,2.14,5.199999809,2952,1.7,1986000
Bahrain,2012,5.027186871,10.60289288,,0.911349595,65.49225616,-0.066273443,,7.3,1007,2.6,10511.08214,17659,0.5,75.2,41.1,767,1.7,3.700000048,,8.1,8062000
Bangladesh,2012,4.724443913,7.9064641,0.705811918,0.581765294,60.73737335,-0.024726687,0.3259,44,26,2,0.960282707,912,2.6,53.2,13.4,130170,0.01,4.5,2435,7.8,125000
Belarus,2012,5.749043465,9.735478401,0.548332989,0.901961505,63.96964645,-0.226576045,0.282161538,5.3,336,5.1,0.586466907,6085,3.6,49,90.4,202910,16.35,5.900000095,3253,18.3,119000
Belgium,2012,6.935122013,10.61212635,0.44011718,0.92711705,71.3420105,-0.060538139,0.289544444,4.3,4588,6.4,249.669749,45301,1.8,69,71.2,30280,10.08,7.5,3793,14.2,7560000
Benin,2012,3.193468809,7.492073059,0.582080483,0.523027301,50.10337067,-0.079404496,0.4101,107,36,4.9,1.95104647,742,6.3,55.7,13.4,112760,1.4,1,2594,5.7,220000
Bolivia (Plurinational State of),2012,6.018894672,8.664417267,0.435292631,0.780819416,58.51885605,-0.008353052,0.541608333,43.1,149,6.4,0.73663805,1987,12.4,50.2,,1083300,3.89,2.700000048,2254,12.2,798000
Bosnia and Herzegovina,2012,4.773144722,9.12287426,0.194952324,0.778859854,67.2230072,-0.00828603,0.321266667,6.5,447,,8.57421875,4516,1.6,57.3,41.1,51200,4.61,28.10000038,3130,10.8,439000
Botswana,2012,4.835938931,9.547103882,0.662237763,0.836743116,54.90007782,-0.211346135,0.62595,49.5,428,9.6,2.847916998,6658,14.8,69.6,18.1,566730,5.76,17.70000076,2285,3.8,1614000
Brazil,2012,6.660003662,9.612587929,0.458935678,0.890314102,63.86126328,-0.095055113,0.556266667,16,985,5.9,0.679218104,11170,23.8,57.9,45.2,8358140,7.55,6.099999905,3248,5.8,5677000
Bulgaria,2012,4.222297192,9.663409233,0.342922807,0.837966621,66.28061676,-0.177348077,0.332,12,519,3.5,60.25239499,6967,1.9,64.7,62.7,108560,10.99,12.30000019,2877,10.8,6541000
Burkina Faso,2012,3.95500803,7.326239586,0.617090106,0.743765771,49.89596176,-0.053377308,0.41505,101.4,36,4.1,0.86622807,616,0.7,60.6,4.6,273600,4.75,3.299999952,2707,4.8,237000
Cambodia,2012,3.898706913,7.935647964,,0.605528593,57.04252243,0.250064552,0.346071429,35.8,59,1.6,20.30364831,825,2.2,57.6,15.9,176520,2.12,0.200000003,2411,9.4,3584000
Cameroon,2012,4.244634151,7.888424873,0.533314586,0.74283731,46.7892952,-0.021345476,0.4248,97.4,53,3,1.728332381,1168,2.7,51.8,11.9,472710,6.19,4.099999905,2586,7,817000
Canada,2012,7.415144444,10.64220619,0.523448169,0.948128343,71.33097076,0.274329185,0.337775,5.3,5719,5.3,1.797325785,47883,1.6,79.9,,9093510,8.3,7.199999809,3419,9.8,16344000
Chad,2012,4.03297472,7.581354141,0.30277133,0.672866464,43.81139755,-0.041087877,0.4157,151.6,29,2.5,0.068297332,891,9.2,44.8,2.2,1259200,0.62,7,2124,4.7,86000
