,Happiness,Log GDP per capita,Confidence in national government,Social support,Healthy life expectancy at birth,Generosity,GINI_index,Expenditure_on_education,homicide,economic_freedom_index,university_enrollment_rate,alcohol,unemployment_rate,total_food_consumption,suicide,total_visitors,log_child_mortality_rate,log_Expenditure_on_health,log_income,log_visitor_per_hectare
102,5.166874886,9.787887573,0.236376286,0.740043104,66.41331482,-0.115293927,0.304484615,2.9,1.9,64.4,54.5,9.58,7.0,3363.0,10.5,7937000,2.52572864431,6.14846829592,9.03228968203,3.54336824807
103,5.620735645,10.05617428,0.452001721,0.901295125,62.20749664,-0.30323863,0.404315385,4.2,9.2,50.5,76.1,10.99,5.5,2893.9140625,19.5,28177000,2.37954613413,6.8700534118,9.31614079086,0.599131151082
104,3.333047867,7.302061081,0.447820819719,0.637147248,53.13792419,-0.000249257,0.506433333,4.8,4.2,64.9,6.6,8.34,0.600000024,2148.0,11.9,815000,3.95316494876,3.93182563272,6.41345895717,3.50062260457
105,6.396359444,10.79610062,0.447820819719,0.867100954,63.30318069,-0.144847408,0.388312619333,5.1,6.2,62.5,48.6,0.09,5.599999905,3122.0,0.4,16332000,2.77258872224,6.86797440897,9.95427571937,2.04087929734
106,3.668736935,7.688932896,0.645107508,0.711077392,56.13341141,-0.01904407,0.402433333,5.5,7.9,55.4,7.4,0.28,10.30000019,2426.0,5.4,962000,4.02356438016,3.78418963392,6.89162589705,1.62857834072
107,5.154521942,9.433867455,0.223251179,0.819430411,64.85837555,-0.13191402,0.308422222,4.4,1.2,58.0,53.5,9.38,23.89999962,2724.0,12.4,810000,1.96009478405,6.32793678373,8.57734711424,2.23659235542
108,6.53320694,11.26087952,0.856165767,0.807910562,75.40146637,0.094115898,0.4248,3.1,0.2,87.5,40.95390625,1.89,2.799999952,2893.9140625,7.4,11098000,1.02961941718,7.74500280352,10.7684639372,9.66550345746
109,5.91105938,10.14672375,0.368380159,0.925751448,67.09675598,-0.04252696,0.274877778,3.9,1.4,67.0,56.0,10.12,13.89999962,2902.0,10.1,6235000,2.06686275947,7.22766249873,9.73955586085,4.86567215438
110,6.062891006,10.22847271,0.238065988,0.924753785,70.10884094,-0.027444452,0.262336364,5.7,0.7,62.9,86.3,10.95,8.800000191,3173.0,12.4,2156000,1.09861228867,7.63482067775,10.0301642554,4.67423574617
111,5.057314396,6.76,0.651241541,0.786291242,62.5693527441,-0.00963006893431,0.388312619333,0.8,5.6,60.4669117647,40.95390625,0.0,6.900000095,2893.9140625,12.4,0,5.01462731537,2.7080502011,5.75574221359,-2.30258509299
112,5.133887768,9.423396111,0.425877452,0.906595111,48.49176407,-0.174450591,0.622375,6.4,30.8,62.7,19.0,7.38,25.0,3007.0,3.0,9188000,3.86493139789,6.49375383985,8.90408691394,2.0378440438
113,6.003286839,10.37039471,0.230812564,0.77539736,73.19233704,-0.060466178,0.32,4.6,0.8,69.9,97.1,9.56,3.200000048,3329.0,28.9,11140000,1.33500106673,7.4471683596,10.0624551836,4.74209062729
114,6.290690422,10.36271954,0.339146554,0.937023342,73.37998199,-0.071407028,0.344866667,4.4,0.8,69.1,85.5,9.35,25.20000076,3183.0,5.1,57464000,1.48160454092,7.88269220629,10.2854793045,4.74541539679
115,4.224593163,9.213100433,0.777017355,0.824357271,64.19230652,0.153277189,0.388675,1.5,3.3,58.3,17.2,2.8,4.0,2512.0,28.8,1006000,2.34180580615,4.53259949315,8.07992777076,2.78143067607
116,4.550499439,8.243685722,0.447820819719,0.812500715,52.85883331,-0.056496911,0.3539,2.2,6.5,60.4669117647,14.9,2.01,14.60000038,2346.0,17.2,575000,4.33467293829,4.72738781871,7.37148929521,-1.07293469694
117,6.269286633,9.644317627,0.72176528,0.797262073,60.69112778,-0.081600539,0.53,4.43070866142,9.5,52.6,40.95390625,5.73,6.300000191,2727.0,27.8,240000,3.15273602236,6.35784226651,9.05578961213,0.493757714972
118,7.560147762,10.67504883,0.626497209,0.929397464,71.74086761,0.117637143,0.268922222,7.7,0.7,71.7,69.6,7.4,8.100000381,3160.0,11.1,5146000,1.09861228867,8.78293635635,10.9008235663,2.536931245
119,7.776208878,10.90745068,0.769940197,0.94686389,72.73400116,0.125867471,0.3293,5.1,0.6,81.1,55.5,9.86,4.199999809,3487.0,9.2,8566000,1.4586150227,9.12652388588,11.243934291,5.37931171066
120,3.164491177,8.609065056,0.447820819719,0.588395178,64.82252502,0.305268973,0.3577,5.0,51.2,51.2,31.8,0.76,11.39999962,2893.9140625,0.4,0,2.77258872224,4.26267987704,5.75574221359,-2.30258509299
121,4.496571541,7.759257793,0.447820819719,0.728590906,61.02968597,-0.06918785,0.3232,4.0,1.3,53.4,22.4,0.32,11.10000038,2101.0,4.2,244000,3.89792408105,4.11087386417,6.93925394604,0.611587413233
122,4.006897449,7.717731953,0.414645106,0.832056403,54.14896393,0.208817542,0.384533333,4.5,7.9,57.0,3.9,3.98,3.200000048,2192.0,24.9,1043000,4.01998014693,3.82864139649,6.61069604472,0.244878973871
123,6.300235271,9.588583946,0.702815235,0.906098127,65.18327332,0.368961126,0.40505,4.5,4.9,64.9,51.6,6.56,0.699999988,2784.0,11.4,22354000,2.60268968544,5.81711115996,8.56769617359,3.78088909677
124,4.463531017,9.26241684,0.435219467,0.614422798,64.25892639,-0.191534013,0.381166667,6.2,3.1,58.6,35.2,1.3,14.0,3362.0,2.4,5950000,2.76000994003,5.69709348651,8.28878581043,3.64800918343
125,5.309076309,9.799918175,0.53099966,0.739280581,64.88078308,-0.215983421,0.400836364,3.0,4.3,62.5,69.3,1.54,9.199999809,3680.0,7.9,35698000,2.80336038091,6.31896811375,9.28386960526,3.83909369023
126,5.463827133,9.430281639,0.447820819719,0.945841253,58.05474472,-0.148015648,0.4077,3.0,4.3,43.8,12.2,2.75,10.80000019,2883.0,19.6,0,4.03424063815,4.89034912822,8.31947369244,-2.30258509299
127,4.309237957,7.418066502,0.396223307,0.884721696,49.08613205,0.095258117,0.4367,2.7,11.5,61.9,4.5,10.22,4.199999809,2279.0,19.5,1197000,4.16044436393,3.97029191355,6.45362499889,1.80327282775
128,5.030342102,9.026292801,0.236936122,0.897573471,62.95043945,-0.204490617,0.270533333,6.7,5.0,46.1,82.1,8.44,7.5,3142.0,16.8,23013000,2.36085400112,5.66988092298,8.04012466445,3.68447374722
129,7.217766762,11.00320816,0.447820819719,0.855876803,67.90286255,0.044025645,0.388312619333,4.43070866142,0.8,69.3,16.6,1.75,4.0,3215.0,3.2,0,2.0541237337,7.26752542783,10.4892443809,-2.30258509299
130,6.880784035,10.51230335,0.421262175,0.934574962,70.91662598,0.360155404,0.346311111,5.8,1.0,74.1,59.2,10.42,8.0,3414.0,9.63308823529,29282000,1.56861591791,8.20220843644,10.5757685404,4.79690570952
131,7.026226997,10.83070183,0.348855615,0.903192282,69.7709198,0.197222337,0.4087,5.2,4.7,76.3,94.8,8.82,8.199999809,3639.0,12.1,66657000,1.96009478405,9.08136999068,10.8206578974,1.99971800557
132,6.449728489,9.822230339,0.584287286,0.864693701,67.72481537,0.053200379,0.454071429,4.4,7.9,69.9,63.1,5.77,6.5,2939.0,12.1,2695000,2.45100509811,7.18690102041,9.43556176309,2.740726482
133,6.019331932,8.456280708,0.447820819719,0.933141291,60.20788574,-0.036956705,0.348033333,4.43070866142,3.2,45.8,8.9,2.83,10.80000019,2675.0,8.5,0,3.76584049525,4.75359019111,7.37211802834,-2.30258509299
134,7.066577435,9.781422615,0.539273024,0.931629658,64.1986618,-0.205923513,0.497116667,5.0,53.8,38.1,77.0,6.7,8.100000381,2880.0,2.6,988000,2.77881927199,6.41836493594,9.552013347,0.198947499157
135,5.53456974,8.499502182,0.856453717,0.775008678,65.65843964,-0.107827447,0.385766667,6.3,1.5,51.3,25.0,4.12,1.799999952,2893.9140625,5.0,6848000,3.15700042115,4.78749174278,7.2442275156,3.0994315107
136,4.060600758,8.191208839,0.598434687,0.681678295,53.43240356,-0.171732664,0.3589,4.6,6.5,55.3,10.0,0.04,17.70000076,2231.0,3.7,874000,3.87949981372,4.3040650932,7.11720550316,0.562695091724
137,5.013374805,8.160748482,0.594113767,0.780022562,50.17197418,0.000321759,0.516475,1.5,5.5,58.3,2.0,2.59,13.10000038,1923.0,15.7,859000,4.30945594184,4.4188406078,7.21376830812,0.227547672519
138,4.955100536,7.407775402,0.407083839,0.896476209,45.31914902,-0.059616093,0.4315,2.0,6.7,26.3,5.9,6.09,5.300000191,2197.0,18.1,1794000,4.36309862479,4.04305126783,6.6039438246,1.55550036256
