,Happiness,Log GDP per capita,Confidence in national government,Social support,Healthy life expectancy at birth,Generosity,GINI_index,child_mortality_rate,Expenditure_on_health,Expenditure_on_education,visitor_per_hectare,income,homicide,economic_freedom_index,university_enrollment_rate,alcohol,unemployment_rate,total_food_consumption,suicide,total_visitors
0,3.782937527,7.549240589,0.435440153,0.520636737,48.7383461,0.247900203,0.3,99.5,58.0,3.1,0.0,512,6.6,1.0,4.0,0.01,8.5,2100.0,5.7,0
1,5.510124207,9.189268112,0.364893705,0.784501791,67.94297791,-0.169465303,0.305,15.5,240.0,3.5,115.1824818,4245,5.5,65.1,58.6,5.14,13.89999962,3023.0,5.9,3156000
2,5.604595661,9.487703323,0.447820819719,0.839396894,64.00130463,-0.198894069,0.388312619333,26.1,335.0,4.3,1.105914164,4532,1.3,51.0,32.2,0.66,11.0,3272.0,1.9,2634000
3,4.360249996,8.886378288,0.237090692,0.752592862,44.40031433,-0.138072923,0.4734,172.2,168.0,3.4,0.423518088,3505,9.8,46.7,6.9,8.24,6.900000095,2384.0,13.8,528000
4,6.468387127,9.8056,0.418255478,0.901776373,66.83800507,-0.16,0.479421429,13.8,727.0,5.1,2.041517307,10391,6.6,48.0,79.0,8.35,7.199999809,3155.0,10.3,5587000
5,4.319711685,8.891233444,0.285362303,0.676446438,65.01451111,-0.19920297,0.325923077,16.3,150.0,3.1,33.82507903,3622,2.2,68.8,43.9,3.89,17.29999924,2809.0,2.9,963000
6,7.195585728,10.65822315,0.420419186,0.944599032,72.16123962,0.257350981,0.3468,4.3,6544.0,4.9,0.785181521,51628,1.1,83.1,85.4,10.03,5.199999809,3265.0,10.6,6032000
7,7.400688648,10.69543934,0.376573861,0.945142388,70.94441223,0.108246133,0.302488889,4.0,5240.0,5.5,292.5231041,47994,1.0,70.3,72.3,12.26,4.300000191,3784.0,11.5,24151000
8,4.910771847,9.673333168,0.707989275,0.761873245,61.79683304,-0.164400503,0.21098,35.7,399.0,2.1,24.02671248,5296,2.2,58.9,20.4,2.14,5.199999809,2952.0,1.7,1986000
9,5.027186871,10.60289288,0.447820819719,0.911349595,65.49225616,-0.066273443,0.388312619333,7.3,1007.0,2.6,10511.08214,17659,0.5,75.2,41.1,1.7,3.700000048,2893.9140625,8.1,8062000
10,4.724443913,7.9064641,0.705811918,0.581765294,60.73737335,-0.024726687,0.3259,44.0,26.0,2.0,0.960282707,912,2.6,53.2,13.4,0.01,4.5,2435.0,7.8,125000
